customer id ,year,month,class_name,skus_viewed,skus_added_to_cart,skus_purchased,Revenue,Acquisition_Date,Acquisition_Channel,Acquisition_Device,year_month
21,2016,9,Accent Pillows,3,0,0,0,6/14/08,Search - Paid,Desktop,2016-9
21,2016,9,Area Rugs,6,1,0,0,6/14/08,Search - Paid,Desktop,2016-9
21,2016,9,Bar Stools,30,0,0,0,6/14/08,Search - Paid,Desktop,2016-9
21,2016,9,Beds,27,4,0,0,6/14/08,Search - Paid,Desktop,2016-9
21,2016,9,Curtains & Drapes,1,0,0,0,6/14/08,Search - Paid,Desktop,2016-9
21,2016,9,End Tables,1,0,0,0,6/14/08,Search - Paid,Desktop,2016-9
21,2016,9,Sheets And Sheet Sets,12,1,0,0,6/14/08,Search - Paid,Desktop,2016-9
21,2016,9,TV Stands & Entertainment Centers,3,0,0,0,6/14/08,Search - Paid,Desktop,2016-9
21,2016,9,Wall Art,1,1,0,0,6/14/08,Search - Paid,Desktop,2016-9
3302,2016,9,Accent Pillows,1,0,0,0,5/29/12,,Desktop,2016-9
3302,2016,9,Bedding Sets,1,0,0,0,5/29/12,,Desktop,2016-9
5995,2016,9,Area Rugs,0,0,0,0,8/17/04,Search - Paid,Desktop,2016-9
5995,2016,9,Wall Art,2,0,0,0,8/17/04,Search - Paid,Desktop,2016-9
7411,2016,9,Wall Art,3,0,0,0,5/28/15,Search - Paid,Desktop,2016-9
7871,2016,9,Curtains & Drapes,0,0,0,0,2/7/03,Search - Paid,,2016-9
8125,2016,9,Area Rugs,5,0,0,0,11/19/06,Search - Paid,,2016-9
8125,2016,9,Bar Stools,3,0,0,0,11/19/06,Search - Paid,,2016-9
8125,2016,9,Bedding Sets,55,2,0,0,11/19/06,Search - Paid,,2016-9
8125,2016,9,Beds,3,0,0,0,11/19/06,Search - Paid,,2016-9
8125,2016,9,Curtains & Drapes,4,0,0,0,11/19/06,Search - Paid,,2016-9
8125,2016,9,End Tables,1,0,0,0,11/19/06,Search - Paid,,2016-9
8125,2016,9,Sheets And Sheet Sets,1,0,0,0,11/19/06,Search - Paid,,2016-9
8125,2016,9,TV Stands & Entertainment Centers,12,0,0,0,11/19/06,Search - Paid,,2016-9
8125,2016,9,Wall Art,1,0,0,0,11/19/06,Search - Paid,,2016-9
8471,2016,9,Wall Art,5,0,0,0,9/24/10,,Desktop,2016-9
15006,2016,9,Area Rugs,0,0,0,0,3/31/12,,,2016-9
15006,2016,9,Bedding Sets,4,0,0,0,3/31/12,,,2016-9
15006,2016,9,Beds,2,0,0,0,3/31/12,,,2016-9
15006,2016,9,End Tables,3,0,0,0,3/31/12,,,2016-9
15006,2016,9,TV Stands & Entertainment Centers,3,0,0,0,3/31/12,,,2016-9
15006,2016,9,Wall Art,1,0,0,0,3/31/12,,,2016-9
18756,2016,9,Accent Pillows,28,0,0,0,11/9/08,Search - Paid,Desktop,2016-9
18756,2016,9,Area Rugs,0,0,0,0,11/9/08,Search - Paid,Desktop,2016-9
